Year,Name,Rank,Gender
1990,Josiah,354,M
1990,Antoinette,354,F
1990,Rashad,355,M
1990,Lacy,355,F
1990,Courtney,356,M
1990,Ericka,356,F
1990,Pablo,357,M
1990,Brittni,357,F
1990,Elliott,358,M
1990,Alyson,358,F
1990,Gage,359,M
1990,Dawn,359,F
1990,Elias,360,M
1990,Latasha,360,F
1990,Antoine,361,M
1990,Yvette,361,F
1990,Brad,362,M
1990,Chantel,362,F
1990,Eli,363,M
1990,Diane,363,F
1990,Alfred,364,M
1990,Shauna,364,F
1990,Ashton,365,M
1990,Tonya,365,F
1990,Dante,366,M
1990,Lillian,366,F
1990,Stefan,367,M
1990,Meaghan,367,F
1990,Felix,368,M
1990,Alana,368,F
1990,Elliot,369,M
1990,Liliana,369,F
1990,Harry,370,M
1990,Suzanne,370,F
1990,Oliver,371,M
1990,Yvonne,371,F
1990,Emanuel,372,M
1990,Christa,372,F
1990,Clarence,373,M
1990,Chasity,373,F
1990,Roman,374,M
1990,Johanna,374,F
1990,Clint,375,M
1990,Joy,375,F
1990,Dexter,376,M
1990,Kristie,376,F
1990,Cedric,377,M
1990,Rochelle,377,F
1990,Hayden,378,M
1990,Katelynn,378,F
1990,Simon,379,M
1990,Sandy,379,F
1990,Jarrett,380,M
1990,Bonnie,380,F
1990,Tevin,381,M
1990,Daniela,381,F
1990,Allan,382,M
1990,Anastasia,382,F
1990,Brennan,383,M
1990,Lorena,383,F
1990,Abel,384,M
1990,Lyndsey,384,F
1990,Ralph,385,M
1990,Tanisha,385,F
1990,Kory,386,M
1990,Alma,386,F
1990,Roderick,387,M
1990,Irene,387,F
1990,Rudy,388,M
1990,Keri,388,F
1990,Infant,389,M
1990,Leanna,389,F
1990,Leon,390,M
1990,Marlene,390,F
1990,Dallas,391,M
1990,Yolanda,391,F
1990,Keenan,392,M
1990,Beth,392,F
1990,Dominick,393,M
1990,Maribel,393,F
1990,Noel,394,M
1990,Charlene,394,F
1990,Sam,395,M
1990,Nadia,395,F
1990,Guillermo,396,M
1990,Keisha,396,F
1990,Graham,397,M
1990,Blanca,397,F
1990,Weston,398,M
1990,Celeste,398,F
1990,Lewis,399,M
1990,Maya,399,F
1990,Blaine,400,M
1990,Marisol,400,F
1990,Rodolfo,401,M
1990,Katharine,401,F
1990,Julius,402,M
1990,Kourtney,402,F
1990,Earl,403,M
1990,Larissa,403,F
1990,Howard,404,M
1990,Kendall,404,F
1990,Akeem,405,M
1990,Anita,405,F
1990,Stephan,406,M
1990,Corinne,406,F
1990,Tyson,407,M
1990,Casandra,407,F
1990,Wyatt,408,M
1990,Shaina,408,F
1990,Saul,409,M
1990,Elaine,409,F
1990,Kurtis,410,M
1990,Alysha,410,F
1990,Jarred,411,M
1990,Arianna,411,F
1990,Derick,412,M
1990,Shayna,412,F
1990,Ismael,413,M
1990,Sheila,413,F
1990,Esteban,414,M
1990,Kayleigh,414,F
1990,Hugo,415,M
1990,Cheryl,415,F
1990,Leonardo,416,M
1990,Tabatha,416,F
1990,Cristian,417,M
1990,Iris,417,F
1990,Bret,418,M
1990,Brenna,418,F
1990,Zackery,419,M
1990,Chanel,419,F
1990,Forrest,420,M
